"ip";"port";"country code";"city";"region";"country";"level";"http";"https";"socks4";"socks5";"google";"twitter";"instagram";"telegram";"avito";"mailru";"real_ip";"response, msec";"good checks";"bad checks";"hostname"
"134.35.64.55";8080;"YE";"Sanaa";"Amanat Alasimah";"Йемен";1;0;1;0;0;0;0;0;0;0;0;"89.189.93.3";390;32;5;"89.189.93.3"
"125.167.191.61";8080;"ID";"Ubud";"Bali";"Индонезия";1;0;1;0;0;0;0;0;0;1;0;"125.167.191.61";390;27;0;"125.167.191.61"
"118.173.88.111";8080;"TH";"Bangkok";"Bangkok";"Таиланд";1;0;1;0;0;0;0;0;0;1;0;"118.173.88.111";265;247;0;"118.173.88.111"
"118.172.195.75";8080;"TH";"Salaya";"Nakhon Pathom";"Таиланд";1;0;1;0;0;0;0;0;0;1;0;"110.164.197.84";265;126;3;"mx-ll-110.164.197-84.static.3bb.co.th"
"110.136.112.233";8080;"ID";"Jember";"East Java";"Индонезия";1;0;1;0;0;0;0;0;0;1;0;"110.136.112.233";284;158;94;"110.136.112.233"
"109.62.240.126";8080;"RU";"";"";"Россия";1;0;1;0;0;0;0;0;0;1;0;"109.62.240.126";146;139;4;"109.62.240.126"
"103.182.79.137";8085;"ID";"Surabaya";"East Java";"Индонезия";1;0;1;0;0;0;0;0;0;1;0;"103.182.79.137";266;736;143;"103.182.79.137"
"103.161.195.130";8082;"ID";"";"";"Индонезия";1;0;1;0;0;0;0;0;0;1;0;"103.161.195.130";266;67;54;"103.161.195.130"
"103.106.219.201";8080;"ID";"Pasuruan";"East Java";"Индонезия";1;0;1;0;0;0;0;0;0;1;0;"103.106.219.201";266;375;41;"103.106.219.201"
"101.108.205.55";8080;"TH";"Bangkok";"Bangkok";"Таиланд";1;0;1;0;0;0;0;0;0;1;0;"101.108.205.55";266;26;0;"node-14jb.pool-101-108.dynamic.nt-isp.net"
"91.107.159.236";1080;"DE";"Nuremberg";"Bavaria";"Германия";1;0;1;1;0;0;0;0;0;0;0;"91.107.159.236";147;489;26;"static.236.159.107.91.clients.your-server.de"
"89.189.78.239";8080;"YE";"Sanaa";"Amanat Alasimah";"Йемен";1;0;1;0;0;0;0;0;0;1;0;"89.189.78.240";392;7;0;"adsl-89-189-78-240.dynamic.yemennet.ye"
"72.10.164.178";32113;"US";"";"Washington";"США";1;1;1;0;0;0;0;0;0;0;0;"52.156.115.64";267;52;4;"52.156.115.64"
"72.10.164.178";30449;"DE";"Dormagen";"North Rhine-Westphalia";"Германия";1;1;1;0;0;0;0;0;0;1;0;"92.117.30.23";148;6;0;"i5c751e17.versanet.de"
"72.10.164.178";30211;"MX";"Veracruz";"Veracruz";"Мексика";1;1;1;0;0;0;0;0;0;1;0;"201.105.48.136";267;24;0;"dup-201-105-48-136.prod-dial.com.mx"
"72.10.164.178";25819;"CL";"Santiago";"Santiago Metropolitan";"Чили";1;1;1;0;0;0;0;0;0;1;0;"186.104.132.9";148;6;0;"186.104.132.9"
"72.10.164.178";24167;"AE";"Dubai";"Dubai";"ОАЭ";1;1;1;0;0;0;0;0;0;1;0;"2.50.57.168";267;14;5;"2.50.57.168"
"72.10.164.178";23871;"AZ";"Baku";"Baku City";"Азербайджан";1;1;1;0;0;0;0;0;0;0;0;"185.146.112.31";148;9;0;"nat-pool-185.146.112.31.katv1.net"
"72.10.164.178";23359;"CA";"Saint-Jean-sur-Richelieu";"Quebec";"Канада";1;0;1;0;0;0;0;0;0;0;0;"45.73.122.182";267;6;0;"45.73.122.182"
"72.10.164.178";23335;"TW";"Tainan City";"Tainan";"Тайвань";1;1;1;0;0;0;0;0;0;1;0;"114.39.155.137";148;9;0;"114.39.155.137"
"72.10.164.178";23033;"BO";"Santa Cruz";"Santa Cruz Department";"Боливия";1;1;1;0;0;0;0;0;0;1;0;"181.41.144.19";267;6;0;"scz-181-41-144-00019.tigo.bo"
"72.10.164.178";20953;"CO";"Jamund";"Valle del Cauca Department";"Колумбия";1;1;1;0;0;0;0;0;0;1;0;"181.63.178.43";267;6;0;"181.63.178.43"
"72.10.164.178";19719;"BR";"Catanduva";"So Paulo";"Бразилия";1;1;1;0;0;0;0;0;0;1;0;"177.137.146.230";267;18;0;"177.137.146.230"
"72.10.164.178";19005;"IN";"Kolkata";"West Bengal";"Индия";1;1;1;0;0;0;0;0;0;1;0;"115.187.58.180";148;9;0;"115.187.58.180"
"72.10.164.178";18897;"PK";"Karachi";"Sindh";"Пакистан";1;1;1;0;0;0;0;0;0;0;0;"203.101.187.94";267;6;0;"203.101.187.94"
"72.10.164.178";18331;"SA";"Riyadh";"Riyadh Region";"Саудовская Аравия";1;1;1;0;0;0;0;0;0;1;0;"77.31.156.165";267;9;0;"77.31.156.165"
