title,salary,experience,busyness,location,description,link
Водитель-экспедитор категории Е / Водитель категории Е,230 000 — 280 000 ₽/месяц,Опыт не нужен, полная занятость,,"Автоперевозки Водитель-экспедитор категории Е / Водитель категории Е 230 000 — 280 000 ₽/месяц Опыт не нужен Москва Показать на карте Опыт работы не требуется, полная занятость ЧОП ""АГРАН"" Клиент SuperJob с 2021 года Более 50 сотрудников Организация, специально учрежденная для оказания охранных услуг. Требуются водители категории Е! Работа по городам РФ! УСЛОВИЯ: З/П от 230 000 рублей на руки! Оформление в соответствии с ТК РФ Полный соцпакет (оплата б/листов, отпусков, корпоративные подарки) З/П выплачивается 2 раза в месяц., вся З/П в 2 НДФЛ Оплата за дополнительные точки выгрузки Премирование за экономию топлива Оплата простоя во время ремонта за каждые сутки Компенсация затрат на медосмотр, оплата стоянки, мойки, шиномонтажа на «Дорожной сети» Оплата всех платных дорог Заправка только на брендовых АЗС Обеспечение спецодеждой и СИЗ Возможность заработать в акции «Приведи друга» Обязанности: Обеспечивает своевременную подачу автомобиля. Обеспечивает технически исправное состояние закрепленного за водителем автомобиля. Принимает меры по сохранности автомобиля и имущества, находящегося в нем: не оставляет автомобиль без присмотра, в обязательном порядке ставит автомобиль на сигнализацию при любых случаях выхода из салона, блокирует во время движения и стоянки все двери автомобиля. Навыки: Водительские права: C, E",https://russia.superjob.ru/vakansii/voditel-ekspeditor-kategorii-e-50117520.html
Инженер-механик по металлургическому оборудованию,150 000 — 230 000 ₽/месяц,Опыт работы от 6 лет, полная занятость,,"Промышленность, производство Промышленное оборудование Инженер-механик по металлургическому оборудованию 150 000 — 230 000 ₽/месяц Ищем кандидата из: г. Москва и др. городов Пермь, улица Космонавта Леонова, 75 Опыт работы от 6 лет, высшее образование, полная занятость Импортсервис Клиент SuperJob с 2024 года До 50 сотрудников ООО ""Импортсервис"" крупнейший поставщик подшипниковой продукции в промышленном секторе национального рынка, предлагающая широкий... В связи с расширением штата инженерно-технического отдела приглашаем к постоянному сотрудничеству Ведущего инженера по надёжности в направлении металлургия (с переездом в г. Пермь) Почему стоит сотрудничать: Крупнейший импортер и экспортер подшипниковой продукции премиальных брендов, 25 лет на рынке; Технический сервис 24/7, включающий услуги ресурсного анализа, шеф-монтажные работы, вибродиагностику подшипниковых узлов, обучения для сотрудников заказчиков; Работа с крупнейшими металлургическими заводами страны в Н.Тагиле, Череповце, Липецке, Новокузнецке, Магнитогорске; Собственный склад категории ""Б"" в Перми и более 30 консигнационных складов на территории крупнейших предприятий РФ; 120 высококвалифицированных сотрудников. Чем предстоит заниматься: (Переезд в г. Пермь) Сбор исходной информации от подразделений клиента (ОГМ, ОГЭ, ТОиР) для разработки инженерно-технических решений; Первичный аудит производственного оборудования заказчика; Проведение шеф-монтажных работ подшипниковой продукции на оборудовании прокатных станов и МНЛЗ; Организация обучения персонала заказчика основным правилам технической эксплуатации и ремонта оборудования; Подготовка аналитических данных (диаграммы, графики, расчеты и отчеты) для определения проблем надежности и предоставление рекомендаций по их совершенствованию. Необходимый опыт и личные качества: Высшее профессиональное (техническое) образование, квалификация инженер-механик, инженер по металлургии; Опыт работы инженером ТОиР, механиком, мастером по ремонту технологического, ПРОКАТНОГО оборудования от 6 лет на металлургическом предприятии; Умение читать техническую документацию (чертежи, техпроцессы); Готовность к переезду в г. Пермь и командировкам на территорию Заказчиков. Компания, готова предложить: Заключается бессрочный трудовой договор, соцгарантии согласно ТК РФ; Режим работы: 50/50 - офис/командировки; Конкурентный уровень дохода, обсуждается индивидуально по итогам собеседования; Релокационный пакет, для кандидатов из любых регионов включает: компенсацию на аренду жилья, оплату транспортных расходов по переезду, полную оплату затрат на профессиональную подготовку, переподготовку, повышение квалификации с отработкой установленного времени; предоставление современной и комфортной спецодежды и средств индивидуальной защиты; Рабочее место располагается в г. Пермь, ул. К.Леонова, 75; ДМС, включая стоматологию, по прохождению испытательного срока; Корпоративные программы: участие в мероприятиях, подарки для детей и сотрудников, мат.помощь в сложных жизненных ситуациях; Работа в команде профессиональный инженеров по надежности оборудования; У нас бесплатная парковка для личного транспорта, современная оборудованная кухня для приема пищи и отдыха, безлимитный чай-кофе, собственный спортивный зал с возможностью посещения групповых тренировок / индивидуальных занятий, свой оснащенный учебный класс. Присоединяйся к команде профессионалов! Откликнуться",https://russia.superjob.ru/vakansii/inzhener-mehanik-po-metallurgicheskomu-oborudovaniyu-50673454.html
Специалист по обучению охраны труда,от 60 000 ₽/месяц,Опыт не нужен, полная занятость,,"Вакансии Наука, образование, повышение квалификации Высшее образование Специалист по обучению охраны труда от 60 000 ₽/месяц Опыт не нужен Старт карьеры Нижний Новгород Показать на карте Опыт работы не требуется, высшее образование, полная занятость АО научно-производственный центр ""Нижегородский НИИ радиотехники Клиент SuperJob с 2024 года До 50 сотрудников Акционерное общество «Федеральный научно-производственный центр «Нижегородский НИИ радиотехники» — один из основных разработчиков... Уважаемые соискатели, мы находимся в поиске кандидата на позицию «Специалист по обучению охраны труда». Федеральный научно-производственный центр Нижегородский НИИ радиотехники (ННИИРТ) один из основных разработчиков радиолокационных средств в России. Институт имеет специализированную научно-производственную базу, обеспечивающую разработку и выпуск современной техники на уровне мировых достижений. Обязанности: Планирование обучения по программам охраны труда и функционирования системы управления охраной труда. Разработка и актуализация программ обучения и учебно-методического обеспечения с использованием информационных технологий. Подготовка к проведению занятий (написание лекций, составление планов занятий, подготовка презентаций). Передача сведений после проверки знания требований охраны труда в реестр обученных лиц. Требования: высшее образование по направлению подготовки «Техносферная безопасность» или высшее образование и доп. профессиональное образование (профессиональная переподготовка) в области охраны труда без предъявления к опыту работы. Условия: Работа в стабильной, надежной компании с многолетней историей; Официальное трудоустройство (ТК РФ); Полный соцпакет; Собственная медсанчасть; Дотации на питание; Компания предоставляет возможность корпоративных программ обучения (повышение квалификации); Льготные ипотечные программы; Заработная плата: от 60 000 руб. на руки (окончательное решение по итогу собеседования); График работы 5/2 с 7:30 до 16:30. Выберите сообщение Перезвоните мне, пожалуйста Хочу пообщаться по вакансии в чате Откликнуться Позвонить",https://russia.superjob.ru/vakansii/specialist-po-obucheniyu-ohrany-truda-50708913.html
Водитель-экспедитор,от 100 000 ₽/месяц,Опыт работы от 1 года,,,"Автоперевозки Водитель-экспедитор от 100 000 ₽/месяц Отклик без резюме Саратов Показать на карте Опыт работы от 1 года, сменный график работы ООО ""ВПТ"" Компания ООО «ВЕСТЕРН ПЕТРОЛЕУМ ТРАНСПОРТЭЙШН» уже более 15 лет занимается предоставлением транспортно-экспедиционных услуг. Главными приоритетами для нас являются надежность, безопасность и стабильность. Большую часть автопарка составляют тягачи MERCEDES-BENZ ACTROS 2020-2021 годов выпуска, тягачи SITRAK и КАМАЗы 2022 года выпуска. Вся техника в отличном состоянии, в кабине имеется полноценное спальное место для отдыха водителя, кондиционер. Транспортные средства оснащены современными технологиями мониторинга для сохранности количественных и качественных показателей топлива. Топливные терминалы, станции налива и АЗС автоматизированы, водителям не придется выполнять множество ручных операций. Чтобы обеспечить сохранность на всех этапах транспортировки и передаче на АЗС, мы приглашаем к сотрудничеству водителей, которые могут не только перевезти опасный груз, но и выполнять задачи по наливу и сливу нефтепродуктов на нефтебазах и АЗС Приглашаем Вас стать частью нашей команды! Условия: официальное трудоустройство согласно ТК РФ стабильная «белая» заработная плата 2 раза в месяц сдельно-премиальная системы оплаты труда оплачиваемая стажировка под руководством наставника компенсация затрат на внешнее обучение (ДОПОГ) предоставление форменной спецодежды и всех необходимых СИЗ разъездной характер работы Ремонт техники производится в дилерских техцентрах. У нас водители ремонтом техники не занимаются. сменный график, вахта (график сменности и длительность вахты обсуждаются с кандидатом индивидуально, возможны различные варианты длительности и периодичности смен) возможно направление в служебные поездки (выплачиваются суточные, проживание за счет Компании, оплата проезда к месту служебной поездки и обратно) корпоративная мобильная связь действует программа «Приведи друга» (премия за каждого трудоустроенного сотрудника) компания представляет водителей к наградам/знакам отличия Минтранса России подарки детям сотрудников на новогодние праздники место работы: г. Саратов, п.Увек Требования: непрерывный водительский стаж управления транспортным средством категории СЕ от 1 года действующее разрешение на перевозку опасных грузов (ДОПОГ) или финансовая возможность пройти обучение с последующей компенсацией от Компании карта СКЗИ требуемый опыт работы: 1-3 года Обязанности: Наши водители высококлассные специалисты, в их задачи входит: управление автомобилем Компании – Mercedes Benz Actros, SITRAK, Камаз транспортировка нефтепродуктов соблюдение ПДД, правил перевозки опасного груза обеспечение сохранности перевозимого груза и документов проверка технического состояния и прием автомобиля перед выездом на линию подсоединение сливных рукавов на локации слива/налива контроль за правильностью наполнения цистерны Дополнительные преимущества: Мобильная связь Спецодежда Навыки: Водительские права: C, E",https://russia.superjob.ru/vakansii/voditel-ekspeditor-50678192.html
"Ведущий специалист по адаптации, обучению и развитию персонала",По договоренности,Опыт работы от 1 года, полная занятость,,"Оценка и развитие персонала, обучение, тренинги Ведущий специалист по адаптации, обучению и развитию персонала По договоренности Донецк (Донецкая область) Опыт работы от 1 года, высшее образование, полная занятость Многопрофильный холдинг В связи с планируемым открытием вакантной должности предлагаем РАБОТУ для ведущего специалиста по адаптации, обучению и развитию персонала. Обязанности: Управление карьерным ростом и развитием персонала, создание активного кадрового резерва; Организация внутреннего и внешнего обучения и переобучения для сотрудников: анализ потребностей в обучении, подготовка бюджета на обучение и развитие персонала, поиск обучающих организаций. Координация процесса адаптации новых сотрудников; проведение адаптационных мероприятий, инструктажей, тренингов; Взаимодействие с вузами, сузами, обучающими центрами, центрами карьеры и прочими образовательными организациями, как по вопросу оказания образовательных услуг действующим сотрудникам, так и по трудоустройству в компанию студентов и выпускников: заключение договоров о сотрудничестве; участие в мероприятиях - Дни карьеры, Дни открытых дверей, Ярмарка вакансий; организация практик, стажировок для студентов и выпускников; привлечение подработчиков из числа студентов и школьников на вакансии компании. Организация профориентационных мероприятий - экскурсии, информационные активности, конкурсы, как для детей сотрудников, так и для внешней аудитории; Работа с особыми группами населения по трудоустройству и сотрудничеству - инвалидами, демобилизованными, беженцами и т. д. Сопровождение внутренних проектов компании; Участие в развитии и поддержании hr бренда, корпоративной культуры. Подготовка отчетности по вверенному участку, консультирование руководителей по вопросам развития, адаптации, обучения персонала. Требования: Высшее образование по направлениям: ""Управление персоналом"", ""Психология"", ""Менеджмент""; Релевантный опыт работы от 1 года; в обучении персонала, адаптации персонала, организации и развитии корпоративной культуры; Проактивность, результативность, высокая динамика работы; Самообучение, регулярное повышение квалификации по профилю, высокий уровень самоорганизации; Опытный пользователь пакета MS Office. ",https://russia.superjob.ru/vakansii/veduschij-specialist-po-adaptacii-50387662.html
Авиационная промышленность,Инженер – конструктор / Проектировщик лаб. 42,Опыт работы от 1 года, полная занятость,,"Промышленность, производство Авиационная промышленность Инженер – конструктор / Проектировщик лаб. 42 от 100 000 ₽/месяц Доступно студентам Москва, Алтуфьевское шоссе, 79Ас2 Алтуфьево  и ещё 3 станции Показать на карте Опыт работы от 1 года, среднее специальное образование, полная занятость Союзцветметавтоматика им. Топчаева В. П. Клиент SuperJob с 2009 года Более 100 сотрудников Разработка, изготовление и поставка уникальных приборов и систем автоматизации промышленным предприятиям металлургической, химической и... Уважаемый кандидат! Работу удаленно не рассматриваем. «Просто так» или «а вдруг пригожусь» - просьба не откликаться! Жильем и переездом компания не обеспечивает. Цените свое и наше время! АО «Союзцветметавтоматика им. Топчаева В.П.» - современный научно-технический комплекс. У нас более 70-летний опыт разработки и внедрения «под ключ» специализированных средств автоматизации и систем управления в металлургическом, горно-обогатительном, гидрометаллургическом, цементном производствах и других отраслях промышленности. Приглашаем активных и целеустремленных кандидатов, со знаниями и опытом работы в различных отраслях промышленности. Рассмотрим как опытных кандидатов, так и выпускников ВУЗов и кандидата с минимальным опытом работы. Обязанности: Работая с нами, Вы увидите практическое применение Ваших знаний на практике. Разработка конструкций функционально законченных изделий в области автоматизации технологических процессов в горнодобывающей, металлургической и других сферах промышленности; Подготовка расчетов и чертежей, в том числе нестандартного оборудования, разработка принципиальных технологических схем; Оформление конструкторской документации, отвечающей требованиям стандартов ЕСКД; Внесение изменений в конструкторскую документацию изделий серийного производства; Участие в проведении пуско-наладочных и шеф-монтажных работ на объектах Заказчика (РФ и СНГ) – короткие командировки при необходимости. Условия: Трудоустройство по ТК РФ + Оплата проезда + Квартальные премии + Премии по итогам выполнения проектов; Место работы: Метро Алтуфьево (Бибирево, Отрадное, Владыкино), Алтуфьевское шоссе, д.79Ас2; Всесторонняя поддержка на рабочем месте, работа в команде профессионалов; График работы:Пн. - Чт.: 8.30 - 17.30, Пт.: 8.30 - 15.00. Требования: Опыт работы не менее 1- го года на производстве, в сфере приборостроения, металлургии, химической и других видах промышленности; Высшее или средне-профессиональное техническое образование; Умение разрабатывать эскизную документацию механических узлов и систем автоматизации, оформлять техническую документацию; Знание ПК и программ – Компас3D (обязательно), Автокад и подобные; Ответственность, инициативность, стремление к профессиональному развитию. Откликнуться",https://russia.superjob.ru/vakansii/inzhener-47202775.html
Водитель автомобиля,30 000 — 40 000 ₽/месяц,Опыт работы от 1 года, полная занятость,,"Транспорт, логистика, ВЭД Автоперевозки Водитель автомобиля 30 000 — 40 000 ₽/месяц Тара Показать на карте Опыт работы от 1 года, полная занятость Почта России Клиент SuperJob с 2004 года Более 5 000 сотрудников Почта России сейчас — это важная часть социальной инфраструктуры России. Мы объединяем людей на протяжении веков. И доставляем не только... Водитель категории В. Работа в стабильной компании, удобный график работы, Акция «Приведи друга» 10 000 pуб. Мы предлагаем: Стабильную заработную плату oт 30 000 до 40 000 руб. дважды в месяц (состоит из оклада, премии и дополнительных выплат); График работы: 6/1; Возможность влиять на свой доход (дополнительные выплаты зa смены в ночное время, премии пo результатам работы); Современный автопарк, ремонт транспорта у официальных дилеров и СТО; Бесплатный медосмотр и карту тахографа; Страхование; Удобную спецодежду и обувь; Премия в «высокий» сезон (20% от оклада); Корпоративные программы для всей семьи: частичная компенсация путевок в санатории и детские лагеря; новогодние подарки для детей. Вам предстоит: Управлять грузовым автомобилем (до 10 тонн). Доставлять почтовые отправления по закрепленному маршруту. Заполнять сопроводительную документацию. Работая в Почте России: Влияйте на свой доход (дополнительные выплаты за смены в ночное время, премии по результатам работы). Управляйте современным автомобилем. Чувствуйте себя комфортно в новой и красивой форме. Приводите друзей и получайте 10 000 руб. Получайте подарки на праздники и новогодние подарки для детей. Мы оформим Вам карту тахографа и страховку. Мы предоставим Вам оплачиваемые больничные и отпуска. Мы частично компенсируем путевки в санатории и детские лагеря. Мы гарантируем вам корпоративную программу обучения. Мы ждем вас в нашей команде, если вы: Имеете права категории В; Стаж вождения от 1 года. Мы предлагаем вам: Работа в Почте России — полезный опыт в надёжной компании. Нас более 300 000 человек. И мы стремимся к тому, чтобы сделать Почту России клиентоориентированной и технологичной компанией, надёжным и современным поставщиком почтовых, логистических и финансовых услуг. Наша вакансия тебе подойдет, если ты ищешь работу: Водитель-экспедитор, водитель, Wildberries, вайлдберриз, Ламода, Lamoda, Озон, Ozon, Сдек, CDEK, Вкусвилл, Яндекс, Yandex, Сбер маркет, Лавка, Магнит, Лента, Перекресток, Пятерочка, Окей, Ашан, Леруа Мерлен, Пони-экспресс, Ропу-express, DРD, DНL, Boxberry, PickPoint, Достависта, Dostavista Станьте частью большой команды Почты России! Почта России. Объединяем людей Навыки: Водительские права: C, E Профессиональные навыки Водительское удостоверение категории B Аккуратность Водительское удостоверение категории BC Откликнуться",https://russia.superjob.ru/vakansii/voditel-avtomobilya-50325199.html
Менеджер по продажам гигиенической продукции,от 60 000 ₽/месяц,Опыт работы от 3 лет, полная занятость,,"Продажи Косметика, бытовая химия Менеджер по продажам Менеджер по продажам гигиенической продукции от 60 000 ₽/месяц Ищем кандидата из: г. Москва и др. городов 115477, г. Москва, ул. Кантемировская, 59А 10 минут Кантемировская Опыт работы от 3 лет, полная занятость Доктор Зета Клиент SuperJob с 2013 года До 50 сотрудников Производство и продажа зубочисток. Обязанности: Работа в CRM-системе компании ""Доктор Зета"", продажа Z-зубочисток бренда Doctor Zeta Заключение договоров с клиентами, фин. отчетность, повышение уровня продаж Требования: Работоспособность, пунктуальность, работа на результат Изучить товар: Z-зубочистки бренда Doctor Zeta на сайте doctorzeta Знание английского языка приветствуется Условия: 5/2, 9-18ч з/пл +10% с продаж Профессиональные навыки Ведение переговоров Деловая коммуникация Поиск и привлечение клиентов 1С-Битрикс Активные продажи Клиентоориентированность Откликнуться Позвонить",https://russia.superjob.ru/vakansii/menedzher-po-prodazham-gigienicheskoj-produkcii-50572862.html
Водитель-экспедитор,от 150 000 ₽/месяц,Опыт работы от 1 года,,,"Автоперевозки Водитель-экспедитор от 150 000 ₽/месяц Отклик без резюме Усинск Показать на карте Опыт работы от 1 года, сменный график работы ООО ""ВПТ"" Компания ООО «ВЕСТЕРН ПЕТРОЛЕУМ ТРАНСПОРТЭЙШН» уже более 15 лет занимается предоставлением транспортно-экспедиционных услуг. Главными приоритетами для нас являются надежность, безопасность и стабильность. Большую часть автопарка составляют тягачи MERCEDES-BENZ ACTROS 2020-2021 годов выпуска, тягачи SITRAK и КАМАЗы 2022 года выпуска. Вся техника в отличном состоянии, в кабине имеется полноценное спальное место для отдыха водителя, кондиционер. Транспортные средства оснащены современными технологиями мониторинга для сохранности количественных и качественных показателей топлива. Топливные терминалы, станции налива и АЗС автоматизированы, водителям не придется выполнять множество ручных операций. Чтобы обеспечить сохранность на всех этапах транспортировки и передаче на АЗС, мы приглашаем к сотрудничеству водителей, которые могут не только перевезти опасный груз, но и выполнять задачи по наливу и сливу нефтепродуктов на нефтебазах и АЗС Приглашаем Вас стать частью нашей команды! Условия: официальное трудоустройство согласно ТК РФ стабильная «белая» заработная плата 2 раза в месяц сдельно-премиальная системы оплаты труда оплачиваемая стажировка под руководством наставника компенсация затрат на внешнее обучение (ДОПОГ) предоставление форменной спецодежды и всех необходимых СИЗ разъездной характер работы Ремонт техники производится в дилерских техцентрах. У нас водители ремонтом техники не занимаются. сменный график, вахта (график сменности и длительность вахты обсуждаются с кандидатом индивидуально, возможны различные варианты длительности и периодичности смен) возможно направление в служебные поездки (выплачиваются суточные, проживание за счет Компании, оплата проезда к месту служебной поездки и обратно) корпоративная мобильная связь действует программа «Приведи друга» (премия за каждого трудоустроенного сотрудника) компания представляет водителей к наградам/знакам отличия Минтранса России подарки детям сотрудников на новогодние праздники место работы: Усинск, ул. Промышленная Требования: непрерывный водительский стаж управления транспортным средством категории СЕ от 1 года действующее разрешение на перевозку опасных грузов (ДОПОГ) или финансовая возможность пройти обучение с последующей компенсацией от Компании карта СКЗИ требуемый опыт работы: 1-3 года Обязанности: Наши водители высококлассные специалисты, в их задачи входит: управление автомобилем Компании – Mercedes Benz Actros, SITRAK, Камаз транспортировка нефтепродуктов соблюдение ПДД, правил перевозки опасного груза обеспечение сохранности перевозимого груза и документов проверка технического состояния и прием автомобиля перед выездом на линию подсоединение сливных рукавов на локации слива/налива контроль за правильностью наполнения цистерны Дополнительные преимущества: Мобильная связь Спецодежда Навыки: Водительские права: C, E",https://russia.superjob.ru/vakansii/voditel-ekspeditor-50678190.html
"Рестораны, кафе, столовые, фастфуд","Пекарь (Орёл, Металлургов, 19)",,,,"Вакансии Туризм, гостиницы, общественное питание Рестораны, кафе, столовые, фастфуд Пекарь (Орёл, Металлургов, 19) 37 000 — 47 800 ₽/месяц Орел Показать на карте Неполный рабочий день Пятёрочка 6.5 Клиент SuperJob с 2015 года Более 5 000 сотрудников «Пятёрочка» — это команда из 260 000 человек от Калининграда до Владивостока. Вместе мы создаём крупнейшую российскую сеть магазинов «у... Для каждого, кто хочет работать и зарабатывать! Для каждого, кто готов к профессиональному и карьерному росту! Ведущая федеральная розничная сеть магазинов «Пятерочка» приглашает на работу:  ЧЕМ НУЖНО ЗАНИМАТЬСЯ: Выпечка хлебобулочных изделий из полуфабрикатов Упаковка, маркировка, выкладка Работа за кассой и в торговом зале  ОТ ВАС: Желание работать с хлебобулочными продуктами, остальному научим!  ОТ НАС: Оформление по ТК РФ Фиксированный оклад + премии и надбавки за стаж. Средний доход 37000 – 47800 руб. в месяц до вычета налогов График работы 5/2, 2/2, возможен неполный рабочий день, неполная рабочая неделя Финансовая поддержка в сложных жизненных ситуациях Медицинская книжка за счет компании Скидки в магазинах сети, скидки от партнеров Оборудованная комната отдыха с бесплатным кофе и чаем Медицинская страховка для сотрудника и его семьи в формате телемедицины, включая поддержку узких специалистов Подарки и компенсация отдыха для детей сотрудников  ПРИВЕТСТВУЕТСЯ АНАЛОГИЧНЫЙ ОПЫТ РАБОТЫ НА ДОЛЖНОСТЯХ: Пекарь, пекарь-кондитер, повар горячего цеха, повар холодного цеха, заготовщик, кухонный рабочий, работник пищевого производства и блинопек. Выберите сообщение Перезвоните мне, пожалуйста Хочу пообщаться по вакансии в чате Откликнуться Позвонить",https://russia.superjob.ru/vakansii/pekar-48768434.html
Менеджер по продажам в типографию,от 70 000 ₽/месяц,Опыт работы от 3 лет, полная занятость,,"Продажи Книги, печатные издания Менеджер по продажам в типографию от 70 000 ₽/месяц Санкт-Петербург Показать на карте Опыт работы от 3 лет, полная занятость JOBCART.RU Клиент SuperJob с 2019 года До 50 сотрудников Вакансии от прямых работодателей. В вакансии указано название компании работодателя и контактные данные представителя. JOBCART.RU - сервис... Вакансия компании ООО ""МГК"" Типография. Обязанности: Привлечение новых клиентов в полиграфии (УПАКОВКА: этикетка, коробка, пачка). - Проведение встреч и презентаций для клиентов. - Подготовка коммерческих предложений и договоров. - Мониторинг рынка и конкурентной среды. - Участие в выставках и других мероприятиях для продвижения услуг. Требования: Опыт работы в продажах полиграфических услуг (упаковка): пачка картонная, коробки из переплетного картона, самоклеящиеся этикетки. - Уверенные навыки ведения переговоров и презентации продуктов. - Знание основ документооборота и юридических аспектов продаж. - Умение работать в команде и принимать самостоятельные решения. - Высокие коммуникативные навыки и ориентация на результат. - Владение ПК и навыки работы с программами для подготовки документов. Условия: Полный рабочий день. - Возможности для профессионального и карьерного роста. - Обучение и поддержка со стороны опытных сотрудников. Если Вы амбициозный и целеустремленный специалист, готовый к новым вызовам, мы ждем именно Вас! Присоединяйтесь к нашей команде и станьте частью динамично развивающейся типографии. Отправьте свое резюме на электронную почту или свяжитесь с нами по телефону! Ваш успешный карьерный путь начинается здесь! Откликнуться",https://russia.superjob.ru/vakansii/menedzher-po-prodazham-v-tipografiyu-50690444.html
